"TCGA-02-0001-01C-01R-0179-07" "TCGA-02-0003-01A-01R-0179-07" "TCGA-02-0006-01B-01R-0179-07" "TCGA-02-0007-01A-01R-0179-07" "TCGA-02-0009-01A-01R-0179-07" "TCGA-02-0010-01A-01R-0179-07" "TCGA-02-0011-01B-01R-0179-07" "TCGA-02-0014-01A-01R-0179-07" "TCGA-02-0021-01A-01R-0179-07" "TCGA-02-0024-01B-01R-0179-07" "TCGA-02-0027-01A-01R-0179-07" "TCGA-02-0028-01A-01R-0179-07" "TCGA-02-0033-01A-01R-0179-07" "TCGA-02-0034-01A-01R-0179-07" "TCGA-02-0037-01A-01R-0179-07" "TCGA-02-0038-01A-01R-0179-07" "TCGA-02-0043-01A-01R-0179-07" "TCGA-02-0047-01A-01R-0179-07" "TCGA-02-0052-01A-01R-0179-07" "TCGA-02-0054-01A-01R-0179-07" "TCGA-02-0055-01A-01R-0179-07" "TCGA-02-0057-01A-01R-0179-07" "TCGA-02-0058-01A-01R-0179-07" "TCGA-02-0060-01A-01R-0179-07" "TCGA-02-0064-01A-01R-0195-07" "TCGA-02-0069-01A-01R-0195-07" "TCGA-02-0071-01A-01R-0195-07" "TCGA-02-0074-01A-01R-0195-07" "TCGA-02-0075-01A-01R-0195-07" "TCGA-02-0080-01A-01R-0195-07" "TCGA-02-0083-01A-01R-0195-07" "TCGA-02-0085-01A-01R-0195-07" "TCGA-02-0086-01A-01R-0195-07" "TCGA-02-0089-01A-01R-0195-07" "TCGA-02-0099-01A-01R-0195-07" "TCGA-02-0102-01A-01R-0195-07" "TCGA-02-0107-01A-01R-0195-07" "TCGA-02-0113-01A-01R-0195-07" "TCGA-02-0114-01A-01R-0195-07" "TCGA-02-0115-01A-01R-0195-07" "TCGA-02-0116-01A-01R-0195-07" "TCGA-06-0122-01A-01R-0213-07" "TCGA-06-0124-01A-01R-0213-07" "TCGA-06-0125-01A-01R-0213-07" "TCGA-06-0126-01A-01R-0213-07" "TCGA-06-0128-01A-01R-0213-07" "TCGA-06-0129-01A-01R-0213-07" "TCGA-06-0130-01A-01R-0213-07" "TCGA-06-0133-01A-02R-0213-07" "TCGA-06-0137-01B-02R-0213-07" "TCGA-06-0138-01A-02R-0229-07" "TCGA-06-0139-01A-01R-0213-07" "TCGA-06-0140-01A-01R-0213-07" "TCGA-06-0141-01A-01R-0213-07" "TCGA-06-0142-01A-01R-0213-07" "TCGA-06-0143-01A-01R-0213-07" "TCGA-06-0145-01A-06R-0213-07" "TCGA-06-0147-01A-02R-0229-07" "TCGA-06-0150-01A-01R-0229-07" "TCGA-06-0151-01A-01R-0229-07" "TCGA-06-0154-01A-03R-0229-07" "TCGA-06-0156-01A-03R-0229-07" "TCGA-06-0157-01A-01R-0229-07" "TCGA-06-0158-01A-01R-0229-07" "TCGA-06-0159-01A-01R-0229-07" "TCGA-06-0160-01A-01R-0229-07" "TCGA-06-0166-01A-01R-0229-07" "TCGA-06-0168-01A-02R-0229-07" "TCGA-06-0169-01A-01R-0213-07" "TCGA-06-0171-01A-02R-0229-07" "TCGA-06-0173-01A-01R-0229-07" "TCGA-06-0174-01A-01R-0229-07" "TCGA-06-0176-01A-03R-0229-07" "TCGA-06-0178-01A-01R-0229-07" "TCGA-06-0184-01A-01R-0229-07" "TCGA-06-0185-01A-01R-0229-07" "TCGA-06-0187-01A-01R-0229-07" "TCGA-06-0188-01A-01R-0229-07" "TCGA-06-0189-01A-05R-0229-07" "TCGA-06-0190-01A-01R-0229-07" "TCGA-06-0195-01B-01R-0229-07" "TCGA-06-0197-01A-02R-0229-07" "TCGA-06-0208-01B-01R-0229-07" "TCGA-06-0210-01B-01R-0229-07" "TCGA-06-0211-01B-01R-0229-07" "TCGA-06-0213-01A-01R-0229-07" "TCGA-06-0214-01A-02R-0229-07" "TCGA-06-0216-01A-01R-0229-07" "TCGA-06-0219-01A-01R-0229-07" "TCGA-06-0221-01A-01R-0229-07" "TCGA-06-0237-01A-02R-0229-07" "TCGA-06-0240-01A-02R-0229-07" "TCGA-06-0241-01A-02R-0229-07" "TCGA-02-0004-01A-01R-0300-07" "TCGA-02-0015-01A-01R-0300-07" "TCGA-02-0016-01A-01R-0300-07" "TCGA-02-0023-01B-01R-0300-07" "TCGA-02-0025-01A-01R-0300-07" "TCGA-02-0026-01B-01R-0300-07" "TCGA-02-0039-01A-01R-0300-07"
"METTL7B" 38 19 15 1 9 2 1 1 16 3 17 34 15 4 22 20 10 7 4 4 3 7 4 1 4 2 14 4 19 1 72 12 174 30 4 9 50 16 6 104 41 12 46 35 14 4 2 7 28 76 4 11 4 21 7 9 89 11 9 40 21 2 5 7 3 2 8 3 56 5 6 3 11 5 42 20 35 2 5 15 2 9 19 32 22 35 9 1 8 2 5 3 3 2 1 1 1 1 1 2
"AGTPBP1" 1 3 2 4 1 1 1 1 0 1 1 0 2 1 1 2 1 1 2 2 2 3 1 2 1 2 1 4 1 1 1 2 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 9 1 0 1 1 0 1 2 1 2 1 5 2 1 0 1 2 2 1 1 1 1 1 3 1 1 1 1 1 1 0 1 1 9 1 1 1 4 1 167 13 108 252 2 24 126
"NHSL1" 2 1 1 1 3 2 2 1 1 1 1 3 1 2 2 2 2 2 1 2 1 2 2 1 1 2 3 1 1 1 2 1 0 1 1 1 2 1 1 1 1 0 1 3 2 1 2 1 1 1 2 0 1 1 1 1 1 0 1 1 2 2 3 4 1 1 1 1 1 1 3 2 1 0 2 1 4 4 2 2 1 2 3 1 1 1 1 1 0 0 4 1 1 127 32 46 111 350 38 119
"NAPSA" 4 4 5 1 14 2 7 1 4 2 4 1 1 1 5 9 2 6 2 9 2 5 6 7 13 1 2 9 19 4 10 56 39 37 7 1 27 6 2 15 1 16 17 7 5 18 34 51 37 6 18 94 1 13 14 14 21 33 3 4 5 1 7 1 7 2 1 15 4 6 8 8 3 10 28 23 9 5 2 4 7 11 20 3 7 153 20 5 8 11 43 13 10 1 1 1 0 0 1 1
"MST150" 14 4 18 6 4 0 1 0 4 1 10 17 30 10 6 6 17 2 2 16 61 4 1 12 5 0 5 2 20 1 9 4 46 5 3 4 13 6 0 9 3 10 16 3 4 2 1 11 1 10 10 18 4 9 1 5 6 17 10 72 12 5 5 2 14 1 6 4 15 4 5 4 9 2 14 2 7 1 7 13 2 19 9 108 5 10 6 0 10 3 2 1 2 1 1 2 4 1 2 2
"PHYHIP" 14 15 3 5 1 4 4 4 1 23 3 1 1 10 2 2 1 22 3 20 5 3 15 20 2 1 5 3 3 5 12 86 2 34 14 6 13 1 2 33 9 10 6 2 16 12 2 2 22 22 7 1 6 8 116 6 1 1 39 1 2 6 2 7 4 123 5 32 3 6 14 5 1 3 4 10 3 14 1 2 43 2 6 1 5 2 5 157 10 18 4 301 5 5 4 4 13 2 3 13
"LILRA4" 2 15 4 1 20 1 2 1 3 1 3 5 2 2 1 6 1 3 16 4 2 12 18 3 3 1 23 7 2 2 11 74 36 10 4 1 48 2 6 59 2 3 3 4 19 3 68 50 20 2 9 12 1 36 35 5 32 43 4 2 2 3 5 14 5 9 4 11 5 17 8 5 2 5 94 12 5 12 2 4 29 3 41 2 7 13 23 25 29 7 23 115 5 1 1 2 1 1 1 1
"RGN" 2 3 4 7 6 0 8 0 4 1 2 0 1 3 4 11 2 1 1 11 1 7 1 3 7 1 6 4 4 1 9 4 5 7 9 4 12 8 0 10 7 4 2 3 3 0 0 1 9 2 8 2 5 7 10 4 10 1 4 0 2 13 8 9 3 8 6 6 1 10 4 2 3 1 6 3 8 26 1 3 3 4 10 1 2 4 2 12 4 1 23 12 6 0 0 0 0 0 0 0
"CD36" 1 3 2 2 1 3 1 1 2 1 1 4 2 2 3 2 1 13 10 8 2 2 1 1 16 1 5 3 3 1 2 1 2 6 6 3 10 2 2 2 3 4 5 3 5 1 2 4 0 35 3 147 7 13 2 4 2 39 5 23 2 8 4 2 5 1 2 2 3 2 35 2 22 7 1 1 3 4 33 2 1 2 3 2 1 1297 3 1 4 3 2 1 3 1 1 1 3 0 1 5
"PRPF19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 21 19 17 15 21 6 42
"BMP2" 0 2 1 1 0 2 4 4 4 2 1 1 3 1 3 2 2 2 1 1 4 1 1 1 5 8 1 13 3 28 7 1 1 1 1 3 1 0 19 1 5 6 5 8 2 16 17 1 0 6 1 2 7 5 1 5 1 8 1 0 8 1 0 1 2 1 2 5 0 1 3 2 1 46 2 1 1 1 5 3 0 2 1 0 1 1 1 1 1 7 2 1 1 0 0 0 0 0 0 0
"NME5" 10 12 11 68 71 6 6 4 13 13 17 10 5 9 7 75 17 30 12 19 5 17 26 7 19 5 17 39 15 18 46 29 88 73 103 26 72 114 3 91 17 31 30 60 29 38 6 40 112 13 57 32 90 121 51 42 69 41 118 56 12 171 37 43 12 79 22 25 18 23 23 14 5 19 29 55 11 67 22 14 20 20 91 46 26 25 20 57 46 16 35 267 17 2 1 2 1 1 1 1
"CLN6" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241 3 2 75 56 21 50
"DGKG" 31 93 18 6 34 2 61 3 10 5 31 47 3 34 15 6 5 26 4 5 3 31 5 46 14 7 19 20 37 11 18 46 121 9 10 40 18 15 1 64 8 17 42 12 70 63 21 7 20 192 25 15 25 214 53 82 95 16 17 20 52 3 3 8 9 34 10 10 16 34 19 17 3 6 62 7 9 30 16 12 3 6 50 23 10 14 18 15 6 3 8 29 16 2 2 1 2 1 0 1
"GBAS" 4 3 2 4 5 1 1 2 2 1 2 2 1 2 4 5 1 2 4 3 1 3 3 1 1 1 3 1 2 2 11 2 4 5 3 2 3 14 2 5 59 2 2 3 2 3 2 1 15 3 5 3 2 4 2 3 16 8 11 8 4 8 5 5 8 3 3 6 3 7 5 5 3 8 22 5 728 5 5 4 8 5 529 22 7 13 4 2 8 8 133 6 7 0 0 0 0 3 1 0
"DUSP1" 7 4 11 1 4 3 1 1 3 1 9 4 4 18 8 2 2 6 10 2 33 3 7 7 6 1 16 7 5 3 4 7 19 12 8 2 36 3 1 8 2 12 18 3 1 5 2 8 2 10 13 19 3 3 1 6 2 16 7 8 6 4 1 5 7 1 3 3 2 2 2 2 6 5 9 1 2 2 8 27 1 14 4 5 1 3 5 1 2 3 1 3 2 0 0 0 0 0 0 0
"ISG20" 2 0 1 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 1 1 2 1 0 1 2 0 0 0 1 0 0 1 1 1 1 0 1 0 1 1 0 2 0 0 0 0 0 1 1 2 0 2 1 1 0 1 1 3 1 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 75 2 66 21 4 2 57
"C21orf91" 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 2 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 1 0 0 1 0 1 0 0 1 1 3 1 3 0 0 5 1 2 0 1 0 1 3 1 1 3 1 0 0 1 3 1 1 0 1 1 2 1 0 1 1 1 0 0 1 2 3 1 1 4 0 9 4 5 14 34 2 40
"SLC25A10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 9 8 29 33 4 47
"SYBU" 25 16 20 17 8 2 11 3 9 7 10 9 6 18 12 8 13 17 7 25 3 9 84 16 16 2 18 13 15 34 3 13 11 21 21 31 13 26 2 17 8 7 8 2 10 8 5 1 15 3 14 2 14 13 15 8 6 2 21 15 10 5 21 22 7 75 15 5 4 7 11 19 19 3 23 5 13 18 11 16 14 11 21 4 1 14 12 26 8 12 8 53 3 0 0 0 0 0 0 0
"NRGN" 15 10 1 2 1 4 1 6 1 17 2 14 1 1 3 1 1 10 5 1 3 1 9 9 2 1 4 1 2 1 22 31 11 23 2 5 4 1 2 28 5 3 4 4 8 3 1 2 13 2 7 1 2 3 44 3 1 1 18 1 2 2 6 3 6 63 2 14 1 5 6 3 1 3 3 5 2 2 1 3 27 1 5 1 11 1 4 53 11 18 1 119 3 1 1 1 1 1 0 1
"TFCP2L1" 31 5 3 5 41 1 1 1 10 1 27 1 3 2 3 4 1 3 1 9 2 10 1 28 5 1 6 1 17 1 1 7 3 2 3 2 10 246 1 143 4 2 4 26 15 1 2 2 1 4 2 7 15 190 4 2 3 2 2 16 2 1 3 3 4 1 3 6 6 2 2 1 1 2 20 2 8 2 5 7 1 5 12 1 1 4 2 1 1 2 1 1 1 4 2 2 1 2 1 1
"SOX10" 0 0 0 0 0 1 7 14 0 11 1 0 0 1 0 0 0 3 3 0 0 1 0 3 0 39 0 15 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 5 3 0 0 0 0 1 0 1 8 1 0 0 0 0 0 1 0 0 1 2 1 0 0 1 0 1 0 2 1 0 0 1 0 1 0 0 0 0 0 0 1 6 1 0 1 1 3 2 1 2 1 2 1 1
"TAOK1" 3 4 5 3 7 6 8 6 5 8 5 3 3 4 3 6 11 5 1 4 1 7 2 5 27 18 4 12 12 16 5 7 7 6 6 10 5 6 7 3 18 9 7 29 22 8 17 2 5 39 2 7 21 33 9 29 24 2 1 9 11 7 6 6 2 4 3 3 6 4 16 6 2 2 4 4 13 12 4 3 3 3 1 1 3 2 5 3 2 1 2 9 6 0 0 0 0 0 0 0
"ADAM8" 1 0 20 2 0 1 1 0 1 1 1 7 18 4 8 1 4 4 1 1 11 3 1 1 9 0 8 7 7 1 1 2 4 2 2 5 11 0 3 1 0 30 6 3 0 1 1 2 0 16 4 20 12 22 2 13 1 6 2 7 5 4 1 1 4 1 2 9 20 1 10 1 6 1 1 1 3 2 5 5 0 5 0 9 0 2 2 1 2 1 0 1 2 1 1 0 1 1 1 1
"NFIA" 9 41 47 35 56 41 38 30 48 11 43 8 3 5 18 36 29 24 5 16 1 55 18 29 14 36 21 15 6 139 8 22 6 30 42 58 15 26 19 10 66 50 9 30 82 21 62 2 66 21 51 4 71 14 35 18 11 3 7 2 25 29 115 136 7 14 23 22 12 23 56 36 6 10 21 11 151 49 14 12 38 4 12 4 36 14 31 17 12 5 55 9 12 1 1 1 1 2 1 1
"DYDC2" 3 2 1 39 1 1 1 1 0 4 1 1 1 1 1 4 0 4 4 1 1 1 2 1 0 1 0 1 1 1 1 1 1 4 12 1 1 6 0 1 0 0 0 0 2 1 0 0 3 0 1 0 15 0 2 0 0 1 17 1 1 64 1 1 8 6 1 20 1 1 1 2 1 4 1 3 0 1 1 1 3 1 1 1 1 5 1 3 2 2 4 55 1 0 0 0 0 0 1 1
"SV2C" 23 12 2 14 3 10 18 3 1 40 2 2 2 13 1 2 1 15 6 2 3 2 4 5 1 149 7 21 9 1 5 17 2 7 2 5 3 15 1 4 7 25 3 4 59 4 57 11 12 2 3 25 8 8 42 3 1 1 6 2 6 7 3 50 2 76 5 12 1 3 14 15 2 3 3 2 1 5 1 3 5 1 2 1 9 1 3 255 3 2 1 39 5 5 3 1 2 6 3 2
"CKMT1A" 2 2 0 2 0 2 1 1 0 2 1 1 0 0 0 0 0 1 3 0 0 0 2 3 0 0 0 2 0 2 1 2 0 2 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 1 2 0 0 0 5 0 0 1 5 1 0 1 2 0 1 17 1 1 1 1 1 3 0 3 0 1 0 1 0 0 4 0 1 0 1 0 1 10 2 4 0 19 3 2 1 5 4 1 4 1
"TPSAB1" 1 1 5 1 1 1 1 1 1 2 2 1 1 39 1 2 5 1 1 4 1 5 2 1 1 1 2 1 2 2 1 2 0 11 58 1 24 1 1 1 1 1 1 1 1 8 1 2 1 141 1 1 8 2 1 3 1 32 18 7 2 2 1 1 4 1 1 2 3 2 3 1 4 1 1 1 5 1 27 1 1 3 1 4 1 1 1 1 2 2 2 2 1 45 8 6 11 8 2 70
"FABP3" 5 4 2 1 4 1 1 0 1 5 1 4 1 2 2 1 0 2 5 3 3 1 2 6 4 0 3 1 0 0 4 3 31 5 1 1 9 0 5 4 1 2 1 1 3 2 1 2 5 1 5 6 1 4 3 1 1 20 14 7 3 3 1 1 6 17 1 32 2 2 4 2 1 8 6 5 3 1 1 2 6 3 14 19 6 15 10 46 9 5 3 76 2 4 1 0 0 1 0 0
"UBE2C" 0 0 0 0 0 2 1 3 1 2 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 2 9 5 4 7 8 24 9
"TSPYL5" 1 1 1 0 0 0 22 0 0 1 0 0 1 0 0 1 0 1 1 4 1 3 1 4 1 1 0 3 0 0 1 2 0 1 1 0 1 6 0 2 0 0 0 0 0 0 0 7 1 0 3 2 0 4 6 1 0 2 2 2 0 4 0 1 3 10 5 2 1 1 0 0 4 0 1 0 0 0 1 1 2 4 0 0 0 1 1 16 0 1 0 6 0 1 2 1 1 1 1 1
"ZBTB20" 6 7 7 13 30 18 10 8 11 4 19 45 5 10 8 6 13 11 3 9 2 13 14 11 14 8 15 20 15 26 2 6 5 6 8 13 6 6 5 9 13 29 15 12 17 16 33 13 7 14 7 5 19 6 10 10 3 2 4 5 11 7 10 19 3 3 6 3 6 4 5 6 8 4 11 4 10 22 7 7 9 4 3 4 6 5 4 4 5 5 15 2 4 0 0 0 0 0 0 0
"IGKV1-5" 1 1 1 1 1 4 1 1 1 12 1 1 2 2 1 1 1 0 1 1 1 3 1 2 2 2 1 1 3 2 1 6 1 2 2 1 4 1 1 1 1 2 2 1 1 3 2 4 1 2 1 47 2 7 1 34 1 137 101 9 1 11 1 1 1 1 1 1 3 1 1 1 5 1 1 1 1 1 8 1 1 5 1 3 1 1 1 1 1 2 1 1 1 26 21 54 60 1 9 21
"TKTL1" 1 9 8 1 1 9 1 1 1 1 1 1 1 1 1 1 1 4 2 2 1 2 1 3 1 1 4 7 5 4 2 3 0 11 1007 4 3 2 1 2 2 2 1 0 2 10 2 1 21 2 102 18 5 2 1 2 2 10 3 2 1 15 188 2 2 4 1 2 2 2 14 3 5 18 5 1 3 5 2 2 1 1 1 1 1 4 2 1 2 6 5 2 3 28 1 1 2 5 1 5
"HCST" 9 3 8 4 3 2 6 1 3 3 4 2 13 8 4 8 3 10 7 5 7 4 5 4 14 3 6 8 10 11 5 16 36 15 8 8 26 16 3 12 2 12 23 2 4 19 10 26 24 11 9 39 10 15 12 6 16 149 14 14 8 13 8 7 13 4 5 26 23 9 7 5 4 23 27 10 11 5 9 7 7 15 7 45 4 49 10 4 7 20 14 28 4 0 0 0 0 0 0 0
"MDM2" 1 1 18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 43 1 1 1 1 4 1 1 12 2 1 1 2 2 3 2 17 128 3 2 1 3 1 1 3 1 2 1 1 1 1 3 26 4 416 8 1 4 2 4 1 3 1 1 1 0 1 1 1 1 2 1 53 52 1 1 1 1 32 1 1 1 1 1 1 2 1 2 2 1 1 1 0 1 1 1 1 2 2 1 2 1
"SPATA13" 2 1 1 1 4 2 2 1 2 2 2 1 1 1 1 2 3 3 1 1 1 2 1 1 14 4 2 8 9 2 3 6 18 5 2 7 4 4 1 3 16 9 9 31 15 3 13 2 5 16 0 4 11 32 10 12 8 0 0 1 3 0 1 2 1 1 1 1 2 1 0 1 1 1 1 1 0 1 1 2 1 1 1 1 2 1 2 1 1 1 1 0 1 0 0 1 0 0 0 0
"NKAIN3" 4 23 16 8 23 18 16 4 16 8 14 17 2 9 15 28 14 24 4 17 2 23 21 7 13 25 29 24 21 42 11 23 3 33 21 47 9 10 29 17 62 39 30 39 14 40 31 12 34 35 47 4 47 24 36 18 22 7 25 6 17 29 27 17 7 20 6 5 4 10 22 20 7 9 11 10 21 12 17 7 9 5 18 9 18 27 17 32 13 11 30 14 22 0 1 0 0 0 1 0
"GBP4" 8 6 11 8 3 4 6 3 17 3 5 0 14 11 2 25 10 5 5 14 4 11 2 13 92 8 3 4 17 9 9 41 4 31 6 16 31 23 3 30 19 14 8 4 22 12 24 122 353 13 10 51 55 28 12 61 36 265 11 4 25 18 6 17 3 4 5 84 12 7 5 3 2 4 23 53 113 11 7 6 17 9 7 2 5 14 4 13 5 6 22 23 3 1 1 1 1 2 2 2
"ZNF146" 0 1 0 0 1 2 0 2 1 1 1 0 0 0 1 1 2 0 0 0 0 1 0 0 1 2 2 2 1 1 0 0 0 0 1 2 0 0 1 0 1 1 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 1 0 0 1 0 0 0 1 2 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1 71 3 2 4 80 4 69
"STMN4" 81 116 77 35 67 69 155 36 19 134 80 147 2 75 14 18 22 116 96 57 20 197 38 78 116 178 60 213 49 325 211 354 249 212 91 42 146 32 277 283 170 95 51 56 76 168 260 14 130 374 102 121 73 142 384 119 5 45 95 3 87 139 61 44 8 112 37 35 15 55 87 139 11 83 104 39 26 86 2 24 28 5 75 5 51 59 71 218 37 197 76 633 114 6 8 19 17 11 5 20
"STON1" 1 4 3 6 11 4 9 2 1 3 3 8 3 10 6 7 2 9 3 4 4 2 41 3 7 4 9 5 3 20 1 1 1 5 15 4 4 0 4 0 3 7 3 4 3 10 10 4 0 4 23 3 3 3 3 11 1 1 2 5 1 20 6 11 2 1 5 15 1 2 3 7 6 2 3 5 9 5 5 10 0 5 1 2 3 1 7 0 0 2 3 0 4 1 1 0 0 0 0 0
"ARHGEF7" 9 14 3 4 2 18 4 15 2 10 14 15 1 2 2 3 7 13 9 3 2 4 7 10 2 9 8 7 2 13 7 11 2 10 2 6 3 1 86 7 7 4 4 9 21 6 14 1 8 3 6 2 2 3 35 4 1 1 13 1 3 10 6 6 2 41 4 9 1 5 11 14 2 11 2 4 3 7 1 2 12 1 4 3 7 1 5 32 4 9 6 24 8 2 0 0 0 1 0 0
"NUDT10" 8 24 14 0 4 23 16 16 5 13 10 24 1 3 2 5 6 8 4 2 2 2 5 21 3 11 1 15 4 8 4 3 7 3 10 7 3 4 8 6 5 3 6 11 7 14 26 0 3 3 6 4 5 4 5 1 0 1 9 3 1 5 7 2 2 21 12 3 0 7 5 22 5 6 2 3 0 13 1 4 6 1 11 1 8 0 2 7 3 4 2 17 13 1 2 2 1 1 2 1
"ELOVL2" 3 2 1 1 12 0 0 0 7 1 3 17 0 0 2 1 2 1 1 1 0 1 1 0 1 0 3 0 3 0 3 1 1 2 1 3 0 2 0 6 2 0 1 3 2 0 0 0 1 2 1 0 0 0 0 0 5 0 1 1 5 0 4 2 1 1 0 1 1 1 2 5 1 0 2 2 2 1 2 2 2 1 12 0 10 2 3 1 1 0 1 0 0 1 0 3 1 2 2 3
"COX15" 1 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 2 1 0 1 1 1 1 0 38 25 14 20 6 87 460
"PIFO" 10 7 22 66 25 2 6 1 3 4 5 3 4 18 10 40 4 37 20 25 3 19 20 2 21 2 17 10 6 8 17 35 23 130 68 20 55 80 3 53 16 20 24 15 7 29 3 13 151 25 35 20 125 54 18 26 17 40 20 12 14 122 24 14 36 7 7 73 34 22 19 6 7 14 16 41 30 32 12 9 13 18 17 48 6 79 10 6 16 8 59 16 10 3 1 1 1 1 1 1
"AIF1L" 13 7 2 3 11 4 8 7 11 9 11 4 0 4 1 15 1 7 8 1 0 18 4 41 1 14 4 14 3 2 4 19 6 6 2 3 1 58 13 22 4 6 8 18 11 1 8 0 3 7 6 3 3 4 24 6 13 5 3 5 4 3 8 8 2 8 18 13 5 5 11 5 1 8 9 8 7 6 7 4 4 1 3 0 6 3 25 37 14 2 3 27 24 4 0 0 0 1 0 0
"CPM" 3 4 19 0 2 1 3 9 6 5 3 1 2 5 1 2 0 3 9 2 3 10 1 3 7 1 18 10 6 1 1 9 4 2 6 2 32 1 1 6 1 3 5 2 3 1 3 5 3 17 8 43 38 32 25 6 1 35 5 2 2 2 1 1 13 2 3 2 7 7 7 57 2 1 17 1 1 3 7 9 0 4 2 2 0 6 6 8 1 3 1 4 4 1 1 1 1 1 1 1
"FAM26F" 2 0 2 0 0 0 0 0 0 1 1 0 9 1 1 1 1 1 1 3 5 2 1 2 2 1 1 1 4 0 1 6 1 2 1 1 3 1 0 0 0 1 1 0 1 1 3 23 7 1 4 21 1 3 0 1 4 78 7 3 4 5 2 1 6 0 1 4 1 3 0 0 1 1 2 1 0 1 1 2 4 20 2 11 1 11 2 0 1 4 2 3 1 1 1 1 1 1 1 1
"TMEM71" 6 1 3 2 54 5 4 0 5 1 5 4 6 3 4 5 1 3 3 2 5 2 1 2 9 1 9 1 5 1 8 3 17 10 1 2 9 10 2 1 7 17 5 2 20 6 1 5 21 8 9 25 3 10 2 8 22 18 9 30 14 15 9 4 5 1 2 14 17 4 3 1 1 1 24 4 25 3 14 6 1 15 35 68 18 78 6 0 13 2 1 14 2 1 1 1 1 1 1 1
"PDZRN4" 5 12 6 20 60 11 38 11 3 13 6 8 2 6 4 17 5 14 5 21 3 3 8 4 8 6 5 10 3 18 5 16 2 8 16 7 6 2 21 6 15 17 5 27 26 42 117 2 22 8 11 5 36 25 38 43 11 2 5 2 1 23 38 9 2 27 7 7 5 11 37 29 2 7 7 7 24 21 3 2 3 3 6 2 5 6 15 42 3 5 33 44 23 1 1 1 1 0 0 0
"THBD" 2 1 5 1 0 0 0 0 1 1 3 1 4 10 4 3 1 3 4 1 16 1 1 3 10 1 7 2 3 1 1 1 7 6 3 2 9 1 1 1 1 26 5 1 1 1 0 4 0 5 3 32 7 6 1 15 0 16 12 12 3 6 2 2 2 1 4 14 6 1 2 3 5 0 2 0 4 2 11 10 1 4 0 13 1 5 2 0 1 0 0 0 3 1 1 1 1 1 1 1
"CDH4" 2 5 2 8 20 1 3 0 15 1 18 4 1 1 16 7 16 1 1 8 1 6 1 2 1 3 7 1 3 0 9 3 1 14 2 9 1 28 1 3 48 12 3 29 20 0 1 0 3 41 3 1 3 1 9 3 3 1 3 1 11 2 33 15 1 4 4 2 3 3 13 10 1 1 8 15 9 3 3 6 9 2 2 1 14 2 6 3 2 1 8 3 4 2 2 3 2 1 1 2
