	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
C3orf64|285203	3312	953	1710	689	4922	539	491	484	656	1967	1946	1321	541	2254	1274	1078	1114	1628	1752	650	3467	2808	1452
C3orf65|646600	2	0	0	0	2	0	0	0	0	0	0	1	0	4	1	0	1	1	1	1	8	0	0
C3orf66|677779	0	16	1	0	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0
C3orf67|200844	499	245	98	146	332	68	211	28	166	293	3744	120	1236	829	433	441	176	594	442	280	415	1318	327
C3orf70|285382	21	4	0	5	19	3	3	66	6	74	0	0	10	25	4	1	82	8	8	6	8	86	4
C3orf71|646450	144.21	26.02	30.25	6.04	60.13	62.05	33.12	45	45.06	39.14	142.28	25.03	14.08	88.09	43.06	17.1	12.07	12.03	18.13	8.04	9.1	22.05	27.1
C3orf72|401089	23	122	235	197	128	286	14	1	1	33	13	13	135	1543	1	41	19	155	30	264	2	589	178
C3orf74|100128378	2	0	0	1	0	0	0	0	0	0	3	1	3	1	1	0	0	4	0	0	6	0	0
C3orf75|54859	784	732	445	408	1202	624	487	663	604	1160	1372	484	645	1172	711	1018	725	448	818	460	544	1207	735
C3orf77|375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C3orf79|152118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C3|718	14	2504	119714	318	6	7	9887	375	5	10	440	230	15	38	7762	830	134	368	2415	15831	4320	535	90
C4A|720	136.72	39.42	594.08	59	159.51	2476.2	33.09	118.54	13.51	107.74	612.32	152.86	25.61	81.72	3410.99	59.17	25.4	15	77.74	12.5	24.46	42.52	111.33
C4BPA|722	0	6	4	0	0	143	38	0	0	0	0	2	0	0	7	2	0	0	0	0	0	0	0
C4BPB|725	0	2	9	2	0	168	0	1	14	0	12	777	0	0	43	13	0	0	29	2	2	1	2
C4orf10|317648	3247.62	348.93	1083.6	265.94	926.61	468.37	322.17	359.73	574.81	784.63	1027.84	579.61	358.63	1633.46	1977.34	1447.15	769.71	1469.02	512.26	1016.41	474.28	2929.14	1221.11
C4orf11|439934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf12|404201	16	61	33	32	73	98	112	73	68	80	417	144	41	87	106	131	52	46	30	78	6	230	45
C4orf14|84273	3106	1505	3010	873	1326	2423	1511	1899	3061	1684	6046	2706	1407	1523	1826	3445	2221	1192	1151	922	1248	4072	1915
C4orf17|84103	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
C4orf19|55286	4.13	4.26	6491.52	26.93	69.19	3427.4	0	7475.56	2574.82	46.58	251.18	1	243.59	2.03	4.33	333.4	552.8	0	294.61	3	3	46.1	220.02
C4orf21|55345	992	808	369	317	1192	445	500	1094	1411	834	1650	1252	889	900	281	1316	641	408	856	169	719	1080	1095
C4orf22|255119	0	2	0	1	6	0	0	0	1	11	1	0	0	2	5	2	0	1	0	1	2	17	5
C4orf23|152992	208	243	229	131	412	362	219	537	463	475	897	449	281	576	204	586	402	402	289	210	177	724	454
C4orf26|152816	1	0	12	0	0	0	1	7	1	0	1	15	0	1	0	26	34	2	0	3	4	16	15
C4orf27|54969	1230	1412	629	711	1183	489	1126	1447	714	1551	2178	1064	971	1529	926	989	1052	499	839	473	643	2429	592
C4orf29|80167	423	315	302	143	270	1093	251	690	907	320	1302	561	404	495	338	723	191	140	275	110	278	488	505
C4orf31|79625	1666	8	256	1	89	96	21	1	28	110	737	56	166	37	22	31	0	12	19	2	0	842	14
C4orf32|132720	471	670	1134	800	2155	1830	668	1304	2322	2313	3929	880	372	21	1353	2258	989	793	750	546	1488	1360	620
C4orf33|132321	95	306	452	136	184	636	321	342	529	384	690	492	141	2382	641	639	168	267	277	155	341	789	286
C4orf34|201895	797	496	726	63	192	1384	862	2928	993	332	3922	1104	55	163	895	605	258	272	443	445	168	2144	1911
C4orf35|85438	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
C4orf36|132989	38	17	12	10	9	8	9	31	14	10	81	25	6	38	17	19	11	29	6	4	14	15	3
C4orf37|285555	1	0	1	1	1	3	0	2	4	0	2	4	1	0	3	1	0	0	0	1	1	2	4
C4orf38|152641	32	12	11	8	32	18	27	10	4	27	34	7	1	89	17	9	10	11	16	9	25	52	20
C4orf39|152756	134	19	0	6	69	25	23	7	73	111	306	64	2	105	40	21	15	9	20	0	0	70	41
C4orf3|401152	8532	1489	1344	994	1381	4248	1425	2215	2509	1343	9695	3347	1026	3841	2970	8489	1555	920	1061	2442	882	2782	1129
C4orf40|401137	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
C4orf41|60684	2042	1871	1807	946	1498	1287	1485	2889	2823	1421	6622	2553	1472	2600	1654	2274	1637	747	1444	764	1865	4690	1650
C4orf42|92070	2275	629	433	569	2016	873	593	1172	1282	1837	2479	1836	830	1945	1534	1014	1146	892	812	505	534	3417	1256
C4orf43|55319	1334	1684	1618	1332	1172	700	1377	1553	1361	1308	5105	3100	1430	1592	1515	2305	2159	925	1265	781	2024	3360	1236
C4orf44|345222	5	4	3	2	9	5	3	8	2	7	14	9	8	2	3	10	3	19	17	1	0	5	7
C4orf45|152940	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
C4orf46|201725	2149	2439	1218.15	778	2839	1173	1519	2088.85	3435	2210.2	5228.2	3495	1545.15	5645	1876.37	3259	2352	893.27	1550	835.45	1598	4725	2577.36
C4orf47|441054	14	4	0	0	4	120	4	4	0	6	33	53	1	3	6	61	1	2	8	5	2	5	5
C4orf48|401115	499	191	95	204	498	420	237	166	201	555	1115	117	249	369	248	284	475	403	237	191	0	526	326
C4orf49|84709	4	29	2	1	3	2	3	3	1	5	4	6	10	247	0	25	1	1	2	55	1	19	64
C4orf50|389197	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C4orf51|646603	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
C4orf52|389203	672	269	358	161	692	588	329	483	616	777	1178	435	495	564	477	683	318	444	482	332	172	1480	518
C4orf6|10141	0	1	1	0	1	0	0	0	3	0	0	0	2	0	6	0	0	1	0	5	0	3	1
C4orf7|260436	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	502	0	0
C5AR1|728	50	46	5	7	6	44	55	24	17	5	319	17	4	104	51	36	15	14	31	107	35	4	8
C5orf13|9315	2980	381	1595	63	583	354	626	137	421	559	3757	900	4664	1736	1029	1325	68	306	135	1606	891	1564	737
C5orf15|56951	12075	5997	6038	4026	10504	5340	4957	5142	3911	5815	15381	1881	10944	8018	3524	8288	7069	8861	5933	4122	14440	9368	5387
C5orf20|140947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf22|55322	3565	2021	3057	1675	2805	5261	1362	6631	3147	2457	5171	1769	2682	2797	6234	1856	3965	1960	2709	1523	2099	6380	2955
C5orf23|79614	2	847	440	22	5	7571	1352	329	947	75	2441	3	84	2	1470	204	520	1775	593	195	236	404	153
C5orf24|134553	12417	5327	2122	2139	6706	4066	4294	4645	4178	5331	8518	3646	4655	7738	5132	5617	5043	1544	2779	2612	2297	5761	3627
C5orf25|375484	2982.73	1365.46	743	731	1399.03	807	1244.35	431.48	1498	2720.5	0	193.12	2108	1760.2	298	1475.5	488	1046	559	227	302	719.13	1699.24
C5orf27|202299	0	3	1	0	8	31	1	184	0	1	14	3	0	3	1	12	3	7	4	1	0	5	4
C5orf28|64417	1913	596	823	320	878	1357	578	1091	863	575	1484	564	497	454	836	780	709	683	850	238	1321	1475	552
C5orf30|90355	1518	1709	1042	525	1225	2165	1058	2476	2466	1049	2122	1324	1843	540	892	1654	1280	742	1239	103	373	2811	650
C5orf32|84418	5102	1875	1575	819	1056	4589	2385	2370	1731	1407	954	267	662	1575	4120	823	877	414	765	191	419	1333	1234
C5orf33|133686	2896	1409	1688	488	1133	3934	995	4630	1595	833	1950	751	1056	1087	2573	1322	1506	662	1656	342	903	3231	1331
C5orf34|375444	368	486	505	197	1110	453	325	667	644	1097	597	431	658	637	483	757	685	222	927	221	131	2270	832
C5orf35|133383	222	38	106	18	150	28	54	130	214	121	118	77	93	118	72	71	27	79	71	34	80	594	89
C5orf36|285600	19	17	12	9	9	22	12	18	15	29	147	217	25	1077	31	19	19	108	27	10	25	129	70
C5orf38|153571	643	76	507	150	0	0	82	469	136	0	0	72	194	0	0	0	120	180	0	191	101	27	113
C5orf39|389289	81.14	74	22	7	149	142	71	95	52	167.39	88	371	76	349	40	85	18	18.49	55	26.33	62	87	109
C5orf40|408263	2	1	0	0	0	5	0	0	0	2	6	1	0	0	6	0	0	0	0	0	0	1	3
C5orf41|153222	1586	201	421	48	479	357	179	86	149	622	876	384	129	141	373	352	150	144	199	546	221	883	600
C5orf42|65250	8860	1540	2984	758	2504	1802	1332	2715	2144	2089	1996	2530	1114	4646	3991	2143	225	765	3619	1010	1529	5049	2293
C5orf43|643155	6389	3774	3075	3152	2967	2625	2571	3807	3621	2960	6108	3648	2057	3332	2283	6194	3906	3713	2666	2005	2591	14154	3849
C5orf44|80006	807.44	586	650	427	921.4	817	417.37	1035.96	855.62	913	1406	480.52	662	961	816.66	1047	654	656.61	566	373.39	540	1403.75	907
C5orf45|51149	697.78	299.24	71.36	37.4	321.62	112.67	294.9	330.94	105.97	531.98	495.78	385.6	283.82	875.23	65.28	437.78	46.52	58.42	185.61	63.89	25.65	105.69	481.87
C5orf46|389336	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	8	0	1	48	0
C5orf47|133491	1	6	0	0	0	73	6	3	0	0	0	0	11	1	0	0	0	1	0	0	0	3	3
C5orf48|389320	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49|134121	0	5	0	0	6	0	1	1	0	3	0	0	0	6	0	0	0	0	0	0	0	10	0
C5orf4|10826	74	10	15	6	22	12	11	38	769	20	791	1458	24	1041	376	120	9	18	36	425	63	73	29
C5orf51|285636	7146	2955	3204	1373	2640	4552	2021	3985	4614	2060	2793	2534	3267	2742	3936	2861	4370	2092	3165	1820	3120	9200	2959
C5orf52|100190949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf53|492311	225	95	70	26	91	92	111	169	114	128	218	98	135	53	233	193	108	34	88	35	50	233	147
C5orf54|63920	360	154	106	87	262	125	155	90	180	337	371	125	195	163	141	213	160	129	179	63	140	299	121
C5orf55|116349	675	116	94	25	210	149	95	65	121	147	324	132	58	121	572	206	84	161	144	120	93	161	88
C5orf56|441108	73.06	33	165.43	22.05	66	55.01	25	37.04	37.03	47.01	273.13	26	40	29	102.38	58.05	16.02	35.13	43.12	12.02	66.21	58.18	63.03
C5orf58|133874	0	0	0	0	100	0	0	12	0	10	0	0	0	0	0	0	0	0	29	0	0	1	0
C5orf60|285679	0	1	0	0	1	4	0	0	1	0	0	0	7	3	5	2	0	0	1	0	1	0	2
C5orf62|85027	823	98	296	65	461	147	73	164	64	716	815	660	216	740	322	133	739	246	302	2478	886	846	579
C5|727	337	1369	58	13	227	5635	1938	42	196	165	566	169	201	269	448	63	235	381	567	282	99	911	196
C6orf103|79747	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
C6orf105|84830	0	10	49	17	46	8	0	0	7	53	19	1	0	0	49	1849	190	83	198	52	211	258	34
C6orf106|64771	4694	3059	4604	3857	3086	7002	2564	4324	5049	3606	9507	3819	3365	5704	21191	3892	9979	3544	3745	4544	7868	6371	2714
C6orf108|10591	2983	818	996	718	1577	2803	1069	1165	1727	2018	2555	1128	705	882	1447	424	688	511	472	410	362	1615	332
C6orf10|10665	0	0	0	2	30	0	0	0	0	5	0	0	0	0	0	0	0	23	8	0	15	0	0
C6orf114|85411	7	11	27	16	19	23	1	2	12	12	0	3	27	72	89	76	164	29	8	2	113	14	3
C6orf115|58527	2716	1077	1253	1295	2269	1138	713	1006	2000	2516	2294	1572	546	3242	824	2429	1297	1531	1065	796	1096	4760	2110
C6orf118|168090	0	0	0	0	6	0	3	0	0	4	0	0	2	13	0	0	0	0	0	0	6	4	3
C6orf120|387263	6192.25	1426.08	1205.19	1278.12	11774.87	872.17	1303.11	2174.16	1538.18	6685.61	6396.24	1402.97	1909.27	3701.1	2148.67	2887.42	3497.33	1295.87	2773.51	1848.86	2758.52	5814.59	1625.55
C6orf122|401288	3.76	22.9	62.75	17.36	14.75	16.52	44.02	0	1	11	43.16	11.96	10	28.91	54.55	4.84	6	13	3	12	23.75	21.82	21.03
C6orf123|26238	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	4	14
C6orf124|653483	24	4	8	4	22	3	19	22	33	36	79	103	41	20	2	23	9	6	8	6	1	4	20
C6orf125|84300	664.97	592.49	687.88	433.62	843.19	1751.3	551.2	1254.04	1565.67	873.14	3431.84	1098.52	792.02	1088.45	1096.71	1030.96	799.77	637.87	597.38	735.58	766.82	1054.25	771.95
C6orf126|389383	0	0	1	1	5	0	1	3	0	4	2	0	1	4	0	0	1	0	0	1	0	0	3
C6orf127|340204	3	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
C6orf129|154467	515	209	123	80	321	792	252	376	270	374	521	185	214	855	334	272	194	132	150	153	133	271	119
C6orf130|221443	1668.42	1309.62	905.85	529.67	1145.35	929.49	910.43	1258.91	1354.36	1142.36	2402.75	1238.76	662.56	1327.79	608	838.17	904.85	406.81	909.1	537	510.84	1261	639.92
C6orf132|647024	97	18	1205	296	0	211	44	779	1233	0	1378	662	23	70	435	388	535	319	280	63	449	86	377
C6orf134|79969	309	421	161	313	768	243	347	655	823	778	2420	657	526	2669	477	427	239	142	586	234	149	632	372
C6orf136|221545	971	346	405	346	1225	2099	313	568	581	1195	787	445	436	781	635	377	880	306	759	130	424	808	438
C6orf138|442213	0	3	34	1	48	19	5	0	14	12	313	2	509	1	9	0	66	48	21	3	2	5	49
C6orf141|135398	0	961	52	18	2	297	541	15	184	0	1693	539	16	0	952	519	195	231	361	77	169	221	640
C6orf142|90523	72	0	4	0	0	19	0	1	2	0	0	0	0	1	16	0	0	4	0	1	5	1	0
C6orf145|221749	894	278	1058	296	1342	1039	151	1598	131	1557	462	1	328	454	1716	911	1777	512	756	1494	2210	2113	954
C6orf146|222826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C6orf147|387097	169.73	58.65	18.25	61.85	229.82	33.01	57.54	18.35	121.63	237.65	250.65	66.14	195.47	113.93	30.93	83.57	49.14	25	163.58	10.34	20.35	174.54	63.98
C6orf150|115004	1394	418	404	890	1700	133	0	300	509	1664	1570	689	3	1430	345	628	996	523	1081	152	1230	1729	928
C6orf153|88745	4385	2573	2484	1878	3494	3261	1666	2645	1900	4629	4144	1959	2234	5607	4301	4100	4099	1843	2388	2491	2546	4076	2124
C6orf154|221424	403	32	10	2	23	297	12	95	10	13	44	9	12	175	64	4	9	26	8	2	14	24	10
C6orf155|79940	731	162	92	67	374	27	113	2	34	122	224	0	4	41	5	94	97	28	137	15	25	117	81
C6orf15|29113	0	0	1	3	0	0	0	0	1	0	15	643	12778	0	1	1	74	3212	298	4	7	0	0
C6orf162|57150	193.5	222.37	132	175	417.48	287.59	200.77	148	302	467.22	515.49	192	363.17	596.81	172.43	290.83	180.8	132	177.72	83	194.55	435.81	118
C6orf163|206412	12	10	2	3	34	2	6	4	8	48	21	14	8	24	2	29	5	5	17	1	5	24	16
C6orf164|63914	7.5	9.63	0	1	22.52	2.41	6.23	6	3	29.78	16.51	6	8.83	22.19	3.57	20.17	3.2	1	8.28	0	2.45	22.19	3
C6orf165|154313	317.45	33.02	41.82	7	57.06	9.01	34.04	45.04	8	65.23	96.11	11.01	12.02	48.02	11.06	24.06	22.09	10.04	38.03	4.01	24.09	70.11	13.01
C6orf167|253714	1598	1546	618	1139	3415	921	819	750	2975	3287	1603	1047	1898	1484	862	1701	2762	1253	1794	499	3001	2017	1142
C6orf168|84553	717	254	81	56	452	505	131	18	277	504	594	537	1019	1551	46	664	45	322	162	170	151	681	1096
C6orf170|221322	2010	175	64	140	795	24	100	190	204	805	679	188	159	1379	97	242	154	169	326	100	228	673	202
C6orf174|387104	109	1833	4	13	4338.74	18.88	1116	0	44	4644	437.62	796	13	250	37	1515	17	21	828.51	226	25	1610	968
C6orf176|90632	3	1099.32	0	7	0	1469.02	973.46	67	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4
C6orf182|285753	845	499	293	364	1255	242	364	426	325	1667	564	705	427	851	344	677	491	264	642	203	412	1508	514
C6orf186|728464	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf191|253582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	38	0
C6orf192|116843	527	328	510	852	1394	1107	321	754	1232	1013	930	578	1097	57	284	692	790	636	1014	412	1333	1834	358
C6orf195|154386	21	4	0	0	7	8	2	2	1	11	5	3	2	6	0	4	2	0	6	0	0	8	1
C6orf1|221491	2051	281	257	99	493	1012	275	126	353	539	1634	374	407	525	601	158	546	285	514	663	318	1774	464
C6orf201|404220	156.4	66.9	47.92	37.44	230.15	236.01	66.42	98.04	46.25	437.82	229.66	50.68	122.21	214.21	196.09	119.64	15.7	74.66	111.93	68.8	77.25	496.22	85.65
C6orf203|51250	537	388	501	165	564	434	319	418	473	892	741	336	425	518	209	444	624	267	380	153	403	865	310
C6orf204|387119	378	160	74	33	355	75	89	243	121	246	279	134	126	462	115	131	37	33	156	119	44	622	181
C6orf208|80069	1.24	7.1	2.25	3.64	1.25	9.48	23.98	0	0	0	5.84	5.04	0	3.09	3.45	1.16	0	0	0	0	4.25	1.18	4.97
C6orf211|79624	2032	1392	805	1017	2355	511	1319	2113	1967	2122	2000	1160	973	1315	1315	3084	2068	977	1152	478	1617	3491	995
C6orf217|100131814	18	4	0	5	12	0	4	4	6	5	11	2	1	4	5	2	5	3	5	20	5	7	5
C6orf218|221718	10	1	5	5	4	0	0	0	1	1	292	0	0	9	2	3	34	2	15	5	32	2	1
C6orf221|154288	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
C6orf222|389384	0	0	1	0	0	0	0	4	5	0	1	0	0	0	0	3	0	0	0	0	0	0	0
C6orf223|221416	5	69	8	0	1	5	21	29	19	0	4903.19	1527.46	226	3	2	71	146	1	16	2.02	1	3.02	1
C6orf225|619208	108	87	70	32	155	19	77	13	47	243	153	66	29	165	122	112	85	54	80	60	40	466	58
C6orf226|441150	251	47	81	30	148	61	53	51	71	188	151	38	53	196	287	44	25	24	46	62	42	104	56
C6orf227|401253	2	1	0	0	0	27	0	0	0	0	0	1	0	0	0	3	0	0	1	4	0	0	1
C6orf25|80739	0	0	0	1	0	0	0	4	0	0	9	3	5	1	0	0	1	0	0	0	0	2	1
C6orf26|401251	142.74	127.32	6	6	290.29	70.58	121.1	81.98	56.18	142.18	198.84	129.16	53.49	197.04	20.8	103.97	23.7	14.68	131.99	2	24	21.37	28.83
C6orf27|80737	671	37	58	21	117	648	66	117	42	52	299	135	46	57	527	56	121	26	98	84	173	143	79
C6orf35|729515	798	534	556	593	2904	172	414	535	482	1125	1135	351	876	718	354	795	760	776	853	471	1748	1420	659
C6orf41|100133205	4	3	3	2	15	2	1	1	2	19	7	5	2	12	7	8	0	5	5	9	2	13	2
C6orf47|57827	1789	637	1070	739	1446	1594	571	981	835	981	1278	1406	817	1848	1982	886	1638	1107	925	1021	1172	1255	1065
C6orf48|50854	3278	869	3375	891	4825	3431	1057	3422	2978	3840	5572	3451	2248	2366	2736	2700	1899	740	1583	5593	1880	3022	3946
C6orf52|347744	2	77	8	1	36	9	59	9	35	54	61	17	35	2	6	32	5	16	21	1	5	48	31
C6orf57|135154	103	67	77	22	83	53	129	93	77	142	776	99	111	141	145	113	45	32	89	170	31	235	39
C6orf58|352999	0	2	11	0	2	1	2	0	1	0	0	4	0	0	0	2	1	5	0	6	5	34	5
C6orf59|79992	34	12	6	1	33	0	4	37	13	29	82	16	6	6	6	21	4	14	4	9	16	35	25
C6orf62|81688	9238.69	3768.24	3307.21	1964.82	6247.32	3290.73	2375.57	5570.95	4908.87	4791.5	8468.05	5125.33	2899.73	16169.2	10804.37	3885.82	5211.64	1707.9	4918.43	5274.14	4922.72	7208.51	4229.82
C6orf64|55776	1254	859	502	399	1522	506	641	780	1122	900	2049	1265	320	2499	1258	967	916	514	844	712	1098	958	1113
C6orf70|55780	738	331	320	204	910	177	295	1001	344	738	869	315	439	346	226	311	311	352	423	370	534	840	380
C6orf72|116254	3029	1050	1348	1146	4860	660	885	1198	852	2406	2524	1226	1523	1208	1350	1292	1723	1631	1395	756	4596	5183	660
C6orf81|221481	163	7	1	0	23	4	4	0	1	21	6	1	4	553	1	0	1	0	4	12	2	5	6
C6orf89|221477	5255	2764	4459	2724	7160	6682	2282	4659	3242	4185	12202	4455	3442	11977	8654	3221	6210	4227	4476	6925	10265	7629	3491
C6orf94|153918	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C6orf97|80129	4	13	18	3	24	0	17	3	17	28	2	1	0	1	5	7	5	0	8	0	1	32	50
C6|729	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	1	1
C7orf10|79783	51	29	32	30	176	62	34	24	101	203	242	8	3	148	61	30	11	39	63	172	35	179	39
C7orf11|136647	1912	1055	1034	658	1111	715	885	816	1184	1552	2777	726	913	2798	2364	1831	1085	897	1028	1193	993	3125	703
C7orf13|129790	358	218	77	88	998	139	161	36	489	745	444	247	50	167	135	268	133	75	236	32	20	974	286
C7orf16|10842	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C7orf23|79161	210.26	227.29	423.88	129.72	851.76	525.84	168.82	1266.64	561.76	631.41	493.76	1035.61	173.61	330.25	226.7	416.14	234.91	494.81	255.2	82.79	211.71	365.43	304.32
C7orf25|79020	1801.17	566.31	500	267	550.32	729.34	513.27	657.82	497.77	620	631.28	446	371	1214.58	2491.54	1071	730	452.45	506	364.9	436	2802.76	538.53
C7orf26|79034	1328	746	828	381	526	627	571	647	694	641	1140	445	1081	2177	1197	724	1557	878	655	462	925	2275	697
C7orf27|221927	5339	1903	1315	528	3562	1446	1675	2157	2228	2898	2545	1527	2336	2916	3358	2208	2800	1818	2875	1494	1371	4969	1914
C7orf28A|51622	3368	2890	2305	1508	3527	2501	1030	2440	4059	4509	2556	1153	2695	8054	4625	3265	3014	3765	2786	1786	2636	10179	1933
C7orf28B|221960	4755	1422	1827	1509	2186	1474	1979	5106	2574	2993	7820	2424	2959	4862	2852	2973	3353	866	2817	1270	1803	8449	2577
C7orf29|113763	531	0	1	328	24	352	0	173	1136	0	367	532	266	1773	186	618	209	30	305	376	162	999	874
C7orf30|115416	1307	993	578	386	721	638	864	996	741	836	1496	638	980	2366	1613	1546	1845	617	1013	688	647	3179	1020
C7orf31|136895	796	216	196	54	241	144	197	563	163	356	21	168	70	830	184	362	206	129	54	351	98	992	131
C7orf33|202865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf34|135927	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf36|57002	547	505	314	237	440	376	427	490	533	557	676	263	673	1357	1116	667	384	408	398	440	309	1250	286
C7orf40|285958	847	685	277	409	1335	573	401	917	1096	852	1514	885	979	2331	720	1628	581	666	1031	435	749	722	715
C7orf41|222166	2445	349	333	96	882	1873	201	194	1591	826	1347	1294	106	1909	1109	1442	1220	293	644	796	1577	3478	275
C7orf42|55069	11374	8091	5381	4532	16231	7727	6112	7992	8386	9552	8533	5252	5415	8655	5151	8167	9870	14991	8429	5642	7461	14356	9002
C7orf43|55262	1210	379	470	150	1283	592	257	1106	579	993	931	900	556	1233	610	655	531	1326	674	207	454	649	976
C7orf44|55744	2404	2535	1637	1056	1985	4063	2215	4110	2497	2588	5665	1813	3013	4683	5877	2502	1882	1486	2565	1561	1180	6179	2282
C7orf45|136263	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C7orf46|340277	84	10	93	15	232	244	3	302	88	226	182	30	138	395	80	45	2	10	89	21	12	296	344
C7orf47|221908	1503	419	603	181	1261	559	515	1057	563	1505	1511	878	330	1236	387	878	302	2342	466	227	141	728	503
C7orf49|78996	1193.08	1830.52	741.66	700.51	1055.34	1293.7	2002.14	1992.2	1923.34	1009.35	1435.23	1298.89	1388.36	2170.64	1552.09	1184.66	1458.75	927.52	1262.72	622.59	1011.38	1833.86	1188.35
C7orf4|64433	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1
C7orf50|84310	2876	2699	1077	1699.94	2356	1608	2143.94	2170	3430.84	2584	2938	2384.97	1760	2681	6550.92	2998	3224.91	4125.94	3181	3166.93	1853	8622	2117
C7orf51|222950	608	80	30	14	32	5	48	37	6	101	104	67	6	109	1	30	2	34	18	37	13	15	13
C7orf52|375607	11	25	0	0	81	97	6	0	2	15	38	44	15	27	10	7	1	5	18	10	2	41	36
C7orf53|286006	7	9	4	8	12	14	8	62	35	18	39	49	6	10	3	17	6	10	11	6	6	14	26
C7orf54|27099	2	4	0	2	1	2	1	8	10	5	2	4	4	5	1	3	3	1	5	0	4	2	3
C7orf55|154791	131.44	105.9	51.17	128.03	265.68	148.88	118.78	49.91	242.61	156.53	328.95	146.71	186.07	181.82	227.38	108.48	35.99	60.54	72.15	105.65	30.96	158	104.43
C7orf57|136288	8	2	1	4	5	1	1	0	1	3	15	4	2	2	51	12	0	53	9	24	497	40	11
C7orf58|79974	485	0	519	7	6	0	1	0	4	7	798	2	3551	691	6	23	2	3	206	595	303	1619	230
C7orf59|389541	1776	797	965	773	1459	868	833	1437	992	1944	1561	791	1191	1313	913	1048	594	3606	653	548	345	1056	737
C7orf60|154743	295	477	1081	169	401	98	362	298	283	407	615	511	242	427	332	499	400	179	246	242	260	779	289
C7orf61|402573	20	5	10	3	7	2	4	4	0	17	49	7	2	20	5	21	6	148	5	7	12	12	4
C7orf63|79846	182	127	95	19	304	18	99	46	27	251	140	124	6	7	16	92	7	32	91	15	19	15	43
C7orf64|84060	2172	518	968	395	1493	750	324	999	658	1266	1231	771	415	1274	656	1041	639	505	610	288	610	804	779
C7orf65|401335	0	34	20	3	2	0	21	0	0	0	10	0	0	86	15	5	0	10	2	16	3	23	8
C7orf66|154907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf68|29923	639	1259	287	402	829	2010	2541	3778	1633	642	2918	1373	512	1773	302	2273	1095	377	704	347	412	391	641
C7orf69|80099	0	1	1	0	0	0	8	0	3	0	0	0	0	2	0	1	1	0	0	0	1	1	3
C7orf70|84792	1103	795	1621	326	590	447	760	857	630	770	1119	704	764	3500	3892	1288	1521	706	602	620	773	3453	492
C7orf71|285941	0	0	0	0	0	2	0	6	0	0	0	1	1	0	0	3	2	0	2	0	0	1	1
C7orf72|100130988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
